"5","Леснадзор"
"7","Пожарный надзор"
"2","Росгидромет"
"1","Роспотребнадзор"
"3","Росприроднадзор"
"4","Рыбнадзор"
"8","7","2","2003-12-20","2003-12-20","4"
"12","1","2","2019-09-12","2019-09-12","3"
"14","7","1","1970-01-01","1970-01-01","3"
"19","7","1","1970-01-01","1970-01-01","3"
"21","19","1","2020-01-09","2020-01-12","5"
"30","AlpenGold"
"19","Алиэкспресс"
"22","ЗАО Тинькофф"
"12","ИП Иванов"
"14","ИП Измайлов"
"28","ИП Муравей"
"21","ИП Садовник"
"13","ИП Сычёв"
"20","Корсар"
"24","Лайк"
"17","Лунтик"
"23","Милитари"
"27","МФЦ"
"26","НПИ"
"6","ОАО ""Газпром"""
"2","ОАО ""ДомСтрой"""
"3","ОАО ""Колосок"""
"10","ОАО Вымпелком"
"9","ОАО Ростелеком"
"18","ОАО Сбербанк"
"5","ОАО ЧАЙКА"
"8","ООО ""Solar"""
"1","ООО ""Ёжики"""
"15","ООО Кабинеты"
"11","ООО Росгосстрах"
"7","ООО Роснефть"
"4","ООО""Ветерок"""
"29","Рошен"
